categorie,type,prix,adresse,image_lien,prix_brut,prix_numerique,a_prix,a_image
Vêtements Enfants,Blouson Pour Enfant,8 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5058990_uploaded_image1_1732437877.jpg,8 000CFA,8000.0,True,True
Vêtements Enfants,Blouson Pour Enfants 100% Coton 3 Ans 9Ans,8 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046861_uploaded_image1_1731758020.jpg,8 000CFA,8000.0,True,True
Vêtements Enfants,Blouson  Pour Enfants 3Ans À 10Ans,8 000CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046278_uploaded_image1_1731706267.jpg,8 000CFA,8000.0,True,True
Vêtements Enfants,Blouson Coton Pour Enfants De 1Ans 8Ans,8 000CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046169_uploaded_image1_1731701583.jpg,8 000CFA,8000.0,True,True
Vêtements Enfants,Blouson Pour Enfants 4Ans À 15Ans,8 000CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046164_uploaded_image1_1731701239.jpg,8 000CFA,8000.0,True,True
Vêtements Enfants,Blouson Pour Enfants De 4Ans À 12Ans,8 000CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046160_uploaded_image1_1731700970.jpg,8 000CFA,8000.0,True,True
Vêtements Enfants,Blouson Pour Enfants 1Ans 5 Ans,5 000CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046156_uploaded_image1_1731700664.jpg,5 000CFA,5000.0,True,True
Vêtements Enfants,Blouson Pour Enfants 3 Ans À 8 Ans,8 000CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5045455_uploaded_image1_1731673153.jpg,8 000CFA,8000.0,True,True
Vêtements Enfants,Ensemble Pul Enfants,18 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5081973_uploaded_image1_1733664739.jpg,18 000CFA,18000.0,True,True
Vêtements Enfants,Ensemble Costumes Enfants,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5081958_uploaded_image1_1733664149.jpg,25 000CFA,25000.0,True,True
Vêtements Enfants,Robe Princesse 10Ans,6 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5079189_uploaded_image1_1733486786.jpg,6 000CFA,6000.0,True,True
Vêtements Enfants,Ensemble Pour Enfant Cotton,6 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5028888_uploaded_image1_1730844775.jpg,6 000CFA,6000.0,True,True
Vêtements Enfants,Maillots Enfants Sénégal,10 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5054255_uploaded_image2_1732155894.jpeg,10 000CFA,10000.0,True,True
Vêtements Enfants,Pantalon Pour Enfant 14Ans 15Ans,4 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4976513_uploaded_image1_1728030461.jpg,4 000CFA,4000.0,True,True
Vêtements Enfants,Lot Pyjamas Enfant 6/8 Ans,11 000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5014321_uploaded_image1_1730104437.jpg,11 000CFA,11000.0,True,True
Vêtements Enfants,Ensemble Veste Garçon 5 Pièces,28 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5010327_uploaded_image1_1729813849.jpg,28 000CFA,28000.0,True,True
Vêtements Enfants,Costume Enfant,28 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5010301_uploaded_image1_1729811616.jpg,28 000CFA,28000.0,True,True
Vêtements Enfants,Vêtements   Pour Enfant,10 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4961200_uploaded_image1_1727261868.jpg,10 000CFA,10000.0,True,True
Vêtements Enfants,Ensemble Pour Enfant,10 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4961210_uploaded_image1_1727262074.jpg,10 000CFA,10000.0,True,True
Vêtements Enfants,Robes De Fête,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5002636_uploaded_image1_1729418520.jpg,Prix sur demande,,False,True
Vêtements Enfants,Ensemble Pour Enfant 0Ans Jusqua 15Ans,6 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4957241_uploaded_image1_1727083231.jpg,6 000CFA,6000.0,True,True
Vêtements Enfants,Jeans Enfants,Prix sur demande,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4991997_uploaded_image1_1728856374.jpg,Prix sur demande,,False,True
Vêtements Enfants,Pantalon Enfants,6 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4945928_uploaded_image1_1726439169.jpg,6 000CFA,6000.0,True,True
Vêtements Enfants,Vetement Enfants,Prix sur demande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4931868_uploaded_image1_1725656850.jpg,Prix sur demande,,False,True
Vêtements Enfants,Veste Jacadi,12 000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4931211_uploaded_image1_1725627889.jpg,12 000CFA,12000.0,True,True
Vêtements Enfants,Veste Softshell,14 000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4931208_uploaded_image1_1725627705.jpg,14 000CFA,14000.0,True,True
Vêtements Enfants,Peignoirs Enfants,Prix sur demande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4866825_uploaded_image1_1722295875.jpg,Prix sur demande,,False,True
Vêtements Enfants,Serviette De Bain Pour Bébé,4 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4861240_uploaded_image1_1721949203.jpg,4 000CFA,4000.0,True,True
Vêtements Enfants,Grenouillère Bébé De 0- 24 Mois,1 500CFA,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4877415_uploaded_image1_1722816062.jpg,1 500CFA,1500.0,True,True
Vêtements Enfants,Body Pour Bébé De 0-24Mois,750CFA,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4877371_uploaded_image1_1722813872.jpg,750CFA,750.0,True,True
Vêtements Enfants,Robe Pour Fille,4 500CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4886076_uploaded_image1_1723220872.jpg,4 500CFA,4500.0,True,True
