categorie,type,prix,adresse,image_lien
Chaussures Homme,Mocassins homme,5 500CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5395412_uploaded_image1_1751054127.jpg
Chaussures Homme,Sandales Hermès,20 000CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5393539_uploaded_image1_1750952929.jpg
Chaussures Homme,Chaussures homme,35 000CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5391753_uploaded_image1_1750857199.jpg
Chaussures Homme,Chaussures homme,40 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5391598_uploaded_image1_1750852699.jpg
Chaussures Homme,Chaussures homme,7 000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5390760_uploaded_image1_1750804520.jpg
Chaussures Homme,Chaussures homme,100 000CFA,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5389229_uploaded_image1_1750732912.jpg
Chaussures Homme,Sandales en cuir,8 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5388886_uploaded_image1_1750707753.jpg
Chaussures Homme,Chaussures Zara,30 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5355405_uploaded_image1_1748811936.jpg
Chaussures Homme,Chaussures Berluti,25 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5355402_uploaded_image1_1748811821.jpg
Chaussures Homme,Sandales Hermès pour hommes,25 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5385859_uploaded_image1_1750532912.jpg
Chaussures Homme,Chaussures  Air force,19 000CFA,"Sicap foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5383496_uploaded_image1_1750413096.jpg
Chaussures Homme,Chaussures homme,30 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5337086_uploaded_image1_1747753113.jpg
Chaussures Homme,Chaussures homme,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5380989_uploaded_image1_1750269170.jpg
Chaussures Homme,Sandales croches,17 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5380985_uploaded_image1_1750269013.jpg
Chaussures Homme,Chaussures femmes,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5380983_uploaded_image1_1750268930.jpg
Chaussures Homme,Chaussures homme,22 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5380977_uploaded_image1_1750268827.jpg
Chaussures Homme,Chaussures hommes,23 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5380973_uploaded_image1_1750268749.jpg
Chaussures Homme,Sandales croches,15 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5380962_uploaded_image1_1750268329.jpg
Chaussures Homme,Chaussures hommes,22 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5380959_uploaded_image1_1750268225.jpg
Chaussures Homme,Baskets Jordan Treize,21 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5379616_uploaded_image1_1750201036.jpg
Chaussures Homme,Chaussures Nike,28 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5335985_uploaded_image1_1747682655.jpg
Chaussures Homme,Chaussures homme,Prix sur demande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5375053_uploaded_image1_1749944221.jpg
Chaussures Homme,Chaussures TN,13 500CFA,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5371448_uploaded_image1_1749743120.jpg
