categorie,type,prix,adresse,image_lien,prix_brut,prix_numerique,a_prix,a_image
Chaussures Homme,Baskets Jordan 1 High,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5401346_uploaded_image1_1751401243.jpg,Prix sur demande,,False,True
Chaussures Homme,Chaussures Homme,Prix sur demande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5401340_uploaded_image1_1751401135.jpg,Prix sur demande,,False,True
Chaussures Homme,Baskets Air Force One Suprême,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5401336_uploaded_image1_1751401037.jpg,Prix sur demande,,False,True
Chaussures Homme,Baskets Jordan 4 Fear,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5401322_uploaded_image1_1751400730.jpg,Prix sur demande,,False,True
Chaussures Homme,Sandales Gucci,17 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5360720_uploaded_image1_1749061990.jpg,17 000CFA,17000.0,True,True
Chaussures Homme,Baskets Adidas Campus,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5368322_uploaded_image1_1749575502.jpg,25 000CFA,25000.0,True,True
Chaussures Homme,Baskets Dior B22,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5368328_uploaded_image1_1749575586.jpg,25 000CFA,25000.0,True,True
Chaussures Homme,Baskets Air Max Scorpion,30 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5386909_uploaded_image1_1750612990.jpg,30 000CFA,30000.0,True,True
Chaussures Homme,Baskets Air Force 1,16 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5386870_uploaded_image1_1750612086.jpg,16 000CFA,16000.0,True,True
Chaussures Homme,Chaussures Berluti,25 000CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5400882_uploaded_image1_1751384100.jpg,25 000CFA,25000.0,True,True
Chaussures Homme,Chaussures Homme,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5360036_uploaded_image1_1749037560.jpg,25 000CFA,25000.0,True,True
Chaussures Homme,Chaussures Homme,27 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5360018_uploaded_image1_1749037245.jpg,27 000CFA,27000.0,True,True
Chaussures Homme,Chaussures Nike,28 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5367848_uploaded_image1_1749555791.jpg,28 000CFA,28000.0,True,True
Chaussures Homme,Chaussures Air Louis Vuitton,20 000CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5400189_uploaded_image1_1751368396.jpg,20 000CFA,20000.0,True,True
Chaussures Homme,Chaussures Air Jordan One Low,17 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5376698_uploaded_image1_1750070197.jpg,17 000CFA,17000.0,True,True
Chaussures Homme,Chaussures Jordan 4,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5359849_uploaded_image1_1749031529.jpg,25 000CFA,25000.0,True,True
Chaussures Homme,Chaussures Nike Vomero,25 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5400128_uploaded_image1_1751366626.jpg,25 000CFA,25000.0,True,True
Chaussures Homme,Air Force 1,17 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5359697_uploaded_image1_1749024937.jpg,17 000CFA,17000.0,True,True
Chaussures Homme,Chaussures Hommes,20 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5399786_uploaded_image1_1751350901.jpg,20 000CFA,20000.0,True,True
Chaussures Homme,Sandales Homme,10 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5399783_uploaded_image1_1751350820.jpg,10 000CFA,10000.0,True,True
Chaussures Homme,Chaussures Homme,23 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5399778_uploaded_image1_1751350515.jpg,23 000CFA,23000.0,True,True
Chaussures Homme,Chaussures Hommes,22 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5399770_uploaded_image1_1751349884.jpg,22 000CFA,22000.0,True,True
Chaussures Homme,Chaussures Tommy,22 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5399767_uploaded_image1_1751349787.jpg,22 000CFA,22000.0,True,True
Chaussures Homme,Timberlands Homme,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5399763_uploaded_image1_1751349629.jpg,25 000CFA,25000.0,True,True
Chaussures Homme,Sandales Orthopédique,10 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5399752_uploaded_image1_1751349132.jpg,10 000CFA,10000.0,True,True
Chaussures Homme,Chaussures Hommes,23 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5399749_uploaded_image1_1751348901.jpg,23 000CFA,23000.0,True,True
Chaussures Homme,Chaussures New Balance,30 000CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5399692_uploaded_image1_1751338580.jpg,30 000CFA,30000.0,True,True
Chaussures Homme,New Balance Fuel Cell,28 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5381433_uploaded_image1_1750290780.jpg,28 000CFA,28000.0,True,True
Chaussures Homme,Sandales Toga,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5381435_uploaded_image1_1750290863.jpg,25 000CFA,25000.0,True,True
Chaussures Homme,Baskets Asic Cayono,27 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5371936_uploaded_image1_1749765298.jpg,27 000CFA,27000.0,True,True
Chaussures Homme,Sandales,17 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5359154_uploaded_image1_1748983277.jpg,17 000CFA,17000.0,True,True
Chaussures Homme,Chaussures  Nike Portal,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5359143_uploaded_image1_1748982874.jpg,25 000CFA,25000.0,True,True
Chaussures Homme,Chaussures Berluti,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5359038_uploaded_image1_1748978250.jpg,20 000CFA,20000.0,True,True
Chaussures Homme,Baskets New Balance,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5359006_uploaded_image1_1748976951.jpg,25 000CFA,25000.0,True,True
Chaussures Homme,Chaussures Homme,20 000CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5399058_uploaded_image1_1751302512.jpg,20 000CFA,20000.0,True,True
Chaussures Homme,Chaussures Homme,6 500CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5361744_uploaded_image1_1749121958.jpg,6 500CFA,6500.0,True,True
Chaussures Homme,Mocassins Hommes,4 000CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5361721_uploaded_image1_1749121349.jpg,4 000CFA,4000.0,True,True
Chaussures Homme,Babouches Homme,10 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5355160_uploaded_image1_1748804517.jpg,10 000CFA,10000.0,True,True
Chaussures Homme,Chaussures Homme,7 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5355170_uploaded_image1_1748804676.jpg,7 000CFA,7000.0,True,True
Chaussures Homme,Chaussures Homme,6 000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5395482_uploaded_image2_1751059185.jpeg,6 000CFA,6000.0,True,True
Chaussures Homme,Mocassins Homme,5 500CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5395412_uploaded_image1_1751054127.jpg,5 500CFA,5500.0,True,True
Chaussures Homme,Sandales Hermès,20 000CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5393539_uploaded_image1_1750952929.jpg,20 000CFA,20000.0,True,True
